threshold,primary_category,n,mean_happiness,rank
5,cs.CV,180,5.483456708013626,1
5,cs.CL,142,5.4773574053299,2
5,physics.soc-ph,135,5.451866188350486,3
5,q-bio.NC,131,5.44818835805175,4
5,cs.AI,73,5.431913077267133,5
5,stat.ML,79,5.414182890576492,6
10,cs.CV,180,5.483456708013626,1
10,cs.CL,142,5.4773574053299,2
10,physics.soc-ph,135,5.451866188350486,3
10,q-bio.NC,131,5.44818835805175,4
10,cs.AI,73,5.431913077267133,5
10,stat.ML,79,5.414182890576492,6
20,cs.CV,180,5.483456708013626,1
20,cs.CL,142,5.4773574053299,2
20,physics.soc-ph,135,5.451866188350486,3
20,q-bio.NC,131,5.44818835805175,4
20,cs.AI,73,5.431913077267133,5
20,stat.ML,79,5.414182890576492,6
